Nome,Arquivados,Retirados,Tramitando,Aguardando,Total,Partido,Ano
SEBASTIÃO OLIVEIRA,0,0,0,0,0,PL,2007
ANGELA AMIN,0,0,0,0,0,PP,2007
PROFESSOR JOZIEL,0,0,0,0,0,PSL,2007
DR. JAZIEL,0,0,0,0,0,PL,2007
MARINA SANTOS,0,0,0,0,0,SOLIDARIEDADE,2007
JUNINHO DO PNEU,0,0,0,0,0,DEM,2007
FLORDELIS,0,0,0,0,0,PSD,2007
EDILÁZIO JÚNIOR,0,0,0,0,0,PSD,2007
ROBERTO PESSOA,0,0,0,0,0,PSDB,2007
PROFESSORA DAYANE PIMENTEL,0,0,0,0,0,PSL,2007
JOÃO H. CAMPOS,0,0,0,0,0,PSB,2007
FÁBIO FARIA,1,0,1,0,2,PSD,2007
ADRIANO DO BALDY,0,0,0,0,0,PP,2007
WALDENOR PEREIRA,0,0,0,0,0,PT,2007
OTONI DE PAULA,0,0,0,0,0,PSC,2007
GLAUSTIN FOKUS,0,0,0,0,0,PSC,2007
EDUARDO COSTA,0,0,0,0,0,PTB,2007
PADRE JOÃO,0,0,0,0,0,PT,2007
RICARDO IZAR,0,0,1,0,1,PP,2007
PAULÃO,0,0,0,0,0,PT,2007
CAPITÃO ALBERTO NETO,0,0,0,0,0,PRB,2007
GENECIAS NORONHA,0,0,0,0,0,SOLIDARIEDADE,2007
GUILHERME MUSSI,0,0,0,0,0,PP,2007
HENRIQUE FONTANA,0,0,1,1,2,PT,2007
DANIEL SILVEIRA,0,0,0,0,0,PSL,2007
MARCOS PEREIRA,0,0,0,0,0,PRB,2007
CLARISSA GAROTINHO,0,0,0,0,0,PROS,2007
AJ ALBUQUERQUE,0,0,0,0,0,PP,2007
WOLNEY QUEIROZ,0,0,0,0,0,PDT,2007
OTACI NASCIMENTO,0,0,0,0,0,SOLIDARIEDADE,2007
HERCULANO PASSOS,0,0,0,0,0,MDB,2007
LUCIO MOSQUINI,0,0,0,0,0,MDB,2007
ZÉ CARLOS,0,0,0,0,0,PT,2007
DANIEL COELHO,0,0,0,0,0,CIDADANIA,2007
GILBERTO NASCIMENTO,0,0,0,0,0,PSC,2007
RODRIGO DE CASTRO,0,0,0,0,0,PSDB,2007
EDNA HENRIQUE,0,0,0,0,0,PSDB,2007
ALEXANDRE SERFIOTIS,0,0,0,0,0,PSD,2007
MARCELO BRUM,0,0,0,0,0,PSL,2007
JOSEILDO RAMOS,0,0,0,0,0,PT,2007
GURGEL,0,0,0,0,0,PSL,2007
GUTEMBERG REIS,0,0,0,0,0,MDB,2007
DIEGO GARCIA,0,0,0,0,0,PODE,2007
CARLOS ZARATTINI,1,0,0,1,2,PT,2007
IRACEMA PORTELLA,0,0,0,0,0,PP,2007
HAROLDO CATHEDRAL,0,0,0,0,0,PSD,2007
JEFFERSON CAMPOS,0,0,0,0,0,PSB,2007
ALÊ SILVA,0,0,0,0,0,PSL,2007
SERGIO VIDIGAL,0,0,0,0,0,PDT,2007
MAURO LOPES,0,0,0,0,0,MDB,2007
MARIA ROSAS,0,0,0,0,0,PRB,2007
RUI FALCÃO,0,0,0,0,0,PT,2007
MAGDA MOFATTO,0,0,0,0,0,PL,2007
ALUISIO MENDES,0,0,0,0,0,PODE,2007
CARLOS JORDY,0,0,0,0,0,PSL,2007
RICARDO BARROS,1,0,0,0,1,PP,2007
GLAUBER BRAGA,0,0,0,0,0,PSOL,2007
SUBTENENTE GONZAGA,0,0,0,0,0,PDT,2007
CEZINHA DE MADUREIRA,0,0,0,0,0,PSD,2007
SANTINI,0,0,0,0,0,PTB,2007
ROGÉRIO PENINHA MENDONÇA,0,0,0,0,0,MDB,2007
PASTOR EURICO,0,0,0,0,0,PATRIOTA,2007
DANIELA DO WAGUINHO,0,0,0,0,0,MDB,2007
TABATA AMARAL,0,0,0,0,0,PDT,2007
PEDRO PAULO,0,0,0,0,0,DEM,2007
VALTENIR PEREIRA,0,0,3,1,4,MDB,2007
ALTINEU CÔRTES,0,0,0,0,0,PL,2007
FERNANDO COELHO FILHO,1,0,0,5,6,DEM,2007
JOSIMAR MARANHÃOZINHO,0,0,0,0,0,PL,2007
DA VITORIA,0,0,0,0,0,CIDADANIA,2007
CARLOS CHIODINI,0,0,0,0,0,MDB,2007
OSSESIO SILVA,0,0,0,0,0,PRB,2007
CHARLES FERNANDES,0,0,0,0,0,PSD,2007
LAFAYETTE DE ANDRADA,0,0,0,0,0,PRB,2007
RAIMUNDO COSTA,0,0,0,0,0,PL,2007
MOSES RODRIGUES,0,0,0,0,0,MDB,2007
AGUINALDO RIBEIRO,0,0,0,0,0,PP,2007
CHARLLES EVANGELISTA,0,0,0,0,0,PSL,2007
WLADIMIR GAROTINHO,0,0,0,0,0,PSD,2007
DR. LUIZ ANTONIO TEIXEIRA JR.,0,0,0,0,0,PP,2007
ARNALDO JARDIM,1,0,0,1,2,CIDADANIA,2007
SÓSTENES CAVALCANTE,0,0,0,0,0,DEM,2007
CELSO RUSSOMANNO,1,0,6,0,7,PRB,2007
SÂMIA BOMFIM,0,0,0,0,0,PSOL,2007
LEANDRE,0,0,0,0,0,PV,2007
LUISA CANZIANI,0,0,0,0,0,PTB,2007
LUIZÃO GOULART,0,0,0,0,0,PRB,2007
FERNANDA MELCHIONNA,0,0,0,0,0,PSOL,2007
HELDER SALOMÃO,0,0,0,0,0,PT,2007
REJANE DIAS,0,0,0,0,0,PT,2007
CÉLIO MOURA,0,0,0,0,0,PT,2007
MÁRCIO JERRY,0,0,0,0,0,PCdoB,2007
PEDRO AUGUSTO BEZERRA,0,0,0,0,0,PTB,2007
DELEGADO MARCELO FREITAS,0,0,0,0,0,PSL,2007
LOESTER TRUTIS,0,0,0,0,0,PSL,2007
EFRAIM FILHO,1,0,0,0,1,DEM,2007
MILTON VIEIRA,0,0,0,0,0,PRB,2007
VICENTINHO,0,0,1,0,1,PT,2007
LAERCIO OLIVEIRA,0,0,0,0,0,PP,2007
ALEXANDRE LEITE,0,0,0,0,0,DEM,2007
FILIPE BARROS,0,0,0,0,0,PSL,2007
LÍDICE DA MATA,1,0,1,0,2,PSB,2007
CARLA ZAMBELLI,0,0,0,0,0,PSL,2007
JOÃO CARLOS BACELAR,0,0,0,0,0,PL,2007
ROSE MODESTO,0,0,0,0,0,PSDB,2007
CHRISTINO AUREO,0,0,0,0,0,PP,2007
IVAN VALENTE,0,0,1,2,3,PSOL,2007
JUAREZ COSTA,0,0,0,0,0,MDB,2007
CARMEN ZANOTTO,0,0,0,0,0,CIDADANIA,2007
HUGO LEAL,1,0,1,0,2,PSD,2007
FRANCISCO JR.,0,0,0,0,0,PSD,2007
ROGÉRIO CORREIA,0,0,0,0,0,PT,2007
PAULO PEREIRA DA SILVA,0,0,0,0,0,SOLIDARIEDADE,2007
PINHEIRINHO,0,0,0,0,0,PP,2007
LUIZA ERUNDINA,1,0,2,2,5,PSOL,2007
PROFESSORA MARCIVANIA,0,0,0,0,0,PCdoB,2007
EDUARDO BISMARCK,0,0,0,0,0,PDT,2007
SCHIAVINATO,0,0,0,0,0,PP,2007
GASTÃO VIEIRA,0,0,1,0,1,PROS,2007
ASSIS CARVALHO,0,0,0,0,0,PT,2007
ENRICO MISASI,0,0,0,0,0,PV,2007
EDUARDO BRAIDE,0,0,0,0,0,PMN,2007
FRED COSTA,0,0,0,0,0,PATRIOTA,2007
FLÁVIA MORAIS,0,0,0,0,0,PDT,2007
FÁBIO RAMALHO,0,0,0,0,0,MDB,2007
TED CONTI,0,0,0,0,0,PSB,2007
ELCIONE BARBALHO,0,0,2,2,4,MDB,2007
JÚNIOR BOZZELLA,0,0,0,0,0,PSL,2007
MARCELO ARO,0,0,0,0,0,PP,2007
SANDERSON,0,0,0,0,0,PSL,2007
EDUARDO BOLSONARO,0,0,0,0,0,PSL,2007
LEDA SADALA,0,0,0,0,0,AVANTE,2007
MAJOR FABIANA,0,0,0,0,0,PSL,2007
