Nome,Status
JOÃO CAMPOS,"Retirado pelo Autor, Arquivada, Tramitando em Conjunto"
MÁRCIO LABRE,A Proposicao procurada nao existe
EXPEDITO NETTO,A Proposicao procurada nao existe
WILSON SANTIAGO,A Proposicao procurada nao existe
MARÍLIA ARRAES,A Proposicao procurada nao existe
SERGIO SOUZA,Pronta para Pauta
JESUS SÉRGIO,A Proposicao procurada nao existe
MÁRCIO BIOLCHI,A Proposicao procurada nao existe
MARA ROCHA,A Proposicao procurada nao existe
HUGO MOTTA,"Aguardando Designação de Relator, Aguardando Designação de Relator"
ANDRÉ ABDON,A Proposicao procurada nao existe
ALEX MANENTE,A Proposicao procurada nao existe
DARCÍSIO PERONDI,Arquivada
BOHN GASS,"Aguardando Designação de Relator, Aguardando Parecer, Arquivada"
DANIEL FREITAS,A Proposicao procurada nao existe
EROS BIONDINI,Tramitando em Conjunto
LINCOLN PORTELA,"Aguardando Designação de Relator, Aguardando Parecer, Retirado pelo Autor, Arquivada, Aguardando Parecer"
ALEX SANTANA,A Proposicao procurada nao existe
AUGUSTO COUTINHO,"Tramitando em Conjunto, Aguardando Designação de Relator, Tramitando em Conjunto, Prioridade (Art. 151, II, RICD), Arquivada"
DOMINGOS SÁVIO,A Proposicao procurada nao existe
ANDRÉ DE PAULA,A Proposicao procurada nao existe
WALTER ALVES,A Proposicao procurada nao existe
CARLOS SAMPAIO,"Tramitando em Conjunto, Aguardando Parecer"
BACELAR,A Proposicao procurada nao existe
GEOVANIA DE SÁ,A Proposicao procurada nao existe
SILVIA CRISTINA,A Proposicao procurada nao existe
CLAUDIO CAJADO,"Arquivada, Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Aguardando Apreciação pelo Senado Federal, Arquivada, Tramitando em Conjunto, Arquivada"
MÁRIO NEGROMONTE JR.,A Proposicao procurada nao existe
ORLANDO SILVA,A Proposicao procurada nao existe
GENINHO ZULIANI,A Proposicao procurada nao existe
RAUL HENRY,Arquivada
ROSANGELA GOMES,A Proposicao procurada nao existe
NEREU CRISPIM,A Proposicao procurada nao existe
MANUEL MARCOS,A Proposicao procurada nao existe
CACÁ LEÃO,A Proposicao procurada nao existe
VITOR LIPPI,A Proposicao procurada nao existe
POMPEO DE MATTOS,A Proposicao procurada nao existe
TALÍRIA PETRONE,A Proposicao procurada nao existe
MÁRIO HERINGER,A Proposicao procurada nao existe
VALMIR ASSUNÇÃO,"Arquivada, Transformado em Norma Jurídica"
CARLOS HENRIQUE GAGUIM,A Proposicao procurada nao existe
CRISTIANO VALE,A Proposicao procurada nao existe
ZÉ VITOR,A Proposicao procurada nao existe
FAUSTO PINATO,A Proposicao procurada nao existe
TIAGO DIMAS,A Proposicao procurada nao existe
FÁBIO MITIDIERI,A Proposicao procurada nao existe
ERIKA KOKAY,"Urgência (Art. 64, CF), Pronta para Pauta, Tramitando em Conjunto, Retirado pelo Autor, Tramitando em Conjunto, Retirado pelo Autor, Tramitando em Conjunto, Aguardando Apreciação pelo Senado Federal, Arquivada, Tramitando em Conjunto, Aguardando Designação de Relator, Tramitando em Conjunto, Prioridade (Art. 151, II, RICD), Tramitando em Conjunto, Aguardando Designação de Relator, Aguardando Designação de Relator, Aguardando Parecer, Retirado pelo Autor, Ordinária (Art. 151, III, RICD), Arquivada, Arquivada"
PEDRO UCZAI,"Urgência (Art. 155, RICD), Tramitando em Conjunto, Arquivada, Arquivada, Arquivada, Aguardando Designação de Relator"
BOCA ABERTA,A Proposicao procurada nao existe
JUSCELINO FILHO,A Proposicao procurada nao existe
PROFESSORA ROSA NEIDE,A Proposicao procurada nao existe
CAMILO CAPIBERIBE,A Proposicao procurada nao existe
LEUR LOMANTO JÚNIOR,A Proposicao procurada nao existe
MARCELO FREIXO,A Proposicao procurada nao existe
GUILHERME DERRITE,A Proposicao procurada nao existe
REGINALDO LOPES,Aguardando Parecer
PEDRO WESTPHALEN,A Proposicao procurada nao existe
JAQUELINE CASSOL,A Proposicao procurada nao existe
ABÍLIO SANTANA,A Proposicao procurada nao existe
FÁBIO HENRIQUE,A Proposicao procurada nao existe
JOAQUIM PASSARINHO,A Proposicao procurada nao existe
DIMAS FABIANO,"Urgência (Art. 64, CF), Arquivada, Arquivada, Aguardando Parecer"
MARCOS AURÉLIO SAMPAIO,A Proposicao procurada nao existe
JÚLIO DELGADO,
EVAIR VIEIRA DE MELO,A Proposicao procurada nao existe
JHC,A Proposicao procurada nao existe
PAULO ABI-ACKEL,"Aguardando Apreciação pelo Senado Federal, Tramitando em Conjunto, Aguardando Designação de Relator"
JOSÉ NUNES,A Proposicao procurada nao existe
PAULO FREIRE COSTA,A Proposicao procurada nao existe
JOSÉ ROCHA,A Proposicao procurada nao existe
LUCIANO DUCCI,A Proposicao procurada nao existe
PAULO GUEDES,A Proposicao procurada nao existe
CELSO MALDANER,"Tramitando em Conjunto, Aguardando Parecer, Tramitando em Conjunto, Aguardando Designação de Relator, Urgência (Art. 155, RICD)"
NILSON PINTO,A Proposicao procurada nao existe
RUBENS BUENO,"Aguardando Designação de Relator, Arquivada, Tramitando em Conjunto, Aguardando Designação de Relator, Arquivada, Aguardando Parecer"
DAVID SOARES,A Proposicao procurada nao existe
DENIS BEZERRA,A Proposicao procurada nao existe
RENATA ABREU,A Proposicao procurada nao existe
JOSÉ RICARDO,A Proposicao procurada nao existe
MARLON SANTOS,A Proposicao procurada nao existe
VALDEVAN NOVENTA,A Proposicao procurada nao existe
AFONSO HAMM,"Aguardando Parecer, Tramitando em Conjunto, Aguardando Designação de Relator, Tramitando em Conjunto"
ZECA DIRCEU,"Tramitando em Conjunto, Aguardando Designação de Relator"
GUSTINHO RIBEIRO,A Proposicao procurada nao existe
BENEDITA DA SILVA,"Aguardando Deliberação, Arquivada"
ALICE PORTUGAL,"Tramitando em Conjunto, Tramitando em Conjunto"
PAULO PIMENTA,"Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Transformado em Norma Jurídica"
GIOVANI CHERINI,"Arquivada, Arquivada, Aguardando Parecer, Arquivada, Aguardando Designação de Relator, Tramitando em Conjunto, Arquivada, Arquivada, Aguardando Apreciação pelo Senado Federal, Tramitando em Conjunto, Retirado pelo Autor, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Parecer, Tramitando em Conjunto, Aguardando Parecer, Tramitando em Conjunto, Tramitando em Conjunto, Urgência (Art. 155, RICD), Aguardando Parecer, Pronta para Pauta, Aguardando Parecer"
ALESSANDRO MOLON,"Aguardando Designação de Relator, Tramitando em Conjunto, Tramitando em Conjunto"
AROLDO MARTINS,A Proposicao procurada nao existe
ALIEL MACHADO,A Proposicao procurada nao existe
AFONSO FLORENCE,"Arquivada, Arquivada"
ALEXANDRE PADILHA,A Proposicao procurada nao existe
DRA. VANDA MILANI,A Proposicao procurada nao existe
IDILVAN ALENCAR,A Proposicao procurada nao existe
JÚNIOR MANO,A Proposicao procurada nao existe
ODAIR CUNHA,Arquivada
NATÁLIA BONAVIDES,A Proposicao procurada nao existe
TITO,A Proposicao procurada nao existe
CAPITÃO WAGNER,A Proposicao procurada nao existe
ALINE SLEUTJES,A Proposicao procurada nao existe
ÁTILA LIRA,A Proposicao procurada nao existe
FELIPE FRANCISCHINI,A Proposicao procurada nao existe
MARGARIDA SALOMÃO,A Proposicao procurada nao existe
DANRLEI DE DEUS HINTERHOLZ,"Retirado pelo Autor, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto"
PAULO AZI,A Proposicao procurada nao existe
SEBASTIÃO OLIVEIRA,A Proposicao procurada nao existe
ANGELA AMIN,A Proposicao procurada nao existe
PROFESSOR JOZIEL,A Proposicao procurada nao existe
DR. JAZIEL,A Proposicao procurada nao existe
MARINA SANTOS,A Proposicao procurada nao existe
JUNINHO DO PNEU,A Proposicao procurada nao existe
FLORDELIS,A Proposicao procurada nao existe
EDILÁZIO JÚNIOR,A Proposicao procurada nao existe
ROBERTO PESSOA,A Proposicao procurada nao existe
PROFESSORA DAYANE PIMENTEL,A Proposicao procurada nao existe
JOÃO H. CAMPOS,A Proposicao procurada nao existe
FÁBIO FARIA,"Arquivada, Aguardando Parecer, Arquivada"
ADRIANO DO BALDY,A Proposicao procurada nao existe
WALDENOR PEREIRA,A Proposicao procurada nao existe
OTONI DE PAULA,A Proposicao procurada nao existe
GLAUSTIN FOKUS,A Proposicao procurada nao existe
EDUARDO COSTA,A Proposicao procurada nao existe
PADRE JOÃO,"Arquivada, Aguardando Parecer, Tramitando em Conjunto, Aguardando Parecer"
RICARDO IZAR,"Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Transformado em Norma Jurídica, Aguardando Designação de Relator, Arquivada, Aguardando Parecer, Aguardando Designação de Relator, Retirado pelo Autor, Tramitando em Conjunto, Aguardando Parecer, Aguardando Designação de Relator, Aguardando Parecer, Arquivada, Retirado pelo Autor, Aguardando Criação de Comissão Temporária, Aguardando Designação de Relator, Tramitando em Conjunto, Retirado pelo Autor, Arquivada, Aguardando Apreciação pelo Senado Federal, Aguardando Designação de Relator, Tramitando em Conjunto, Aguardando Designação de Relator, Retirado pelo Autor, Aguardando Apreciação pelo Senado Federal, Arquivada"
PAULÃO,A Proposicao procurada nao existe
CAPITÃO ALBERTO NETO,A Proposicao procurada nao existe
GENECIAS NORONHA,A Proposicao procurada nao existe
GUILHERME MUSSI,"Tramitando em Conjunto, Retirado pelo Autor, Aguardando Designação de Relator, Arquivada, Tramitando em Conjunto, Arquivada"
HENRIQUE FONTANA,Tramitando em Conjunto
DANIEL SILVEIRA,A Proposicao procurada nao existe
MARCOS PEREIRA,A Proposicao procurada nao existe
CLARISSA GAROTINHO,A Proposicao procurada nao existe
AJ ALBUQUERQUE,A Proposicao procurada nao existe
WOLNEY QUEIROZ,Tramitando em Conjunto
OTACI NASCIMENTO,A Proposicao procurada nao existe
HERCULANO PASSOS,A Proposicao procurada nao existe
LUCIO MOSQUINI,A Proposicao procurada nao existe
ZÉ CARLOS,A Proposicao procurada nao existe
DANIEL COELHO,A Proposicao procurada nao existe
GILBERTO NASCIMENTO,A Proposicao procurada nao existe
RODRIGO DE CASTRO,A Proposicao procurada nao existe
EDNA HENRIQUE,A Proposicao procurada nao existe
ALEXANDRE SERFIOTIS,A Proposicao procurada nao existe
MARCELO BRUM,A Proposicao procurada nao existe
JOSEILDO RAMOS,A Proposicao procurada nao existe
GURGEL,"Tramitando em Conjunto, Arquivada, Arquivada, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto"
GUTEMBERG REIS,A Proposicao procurada nao existe
DIEGO GARCIA,A Proposicao procurada nao existe
CARLOS ZARATTINI,A Proposicao procurada nao existe
IRACEMA PORTELLA,"Tramitando em Conjunto, Aguardando Designação de Relator, Tramitando em Conjunto, Aguardando Parecer, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto"
HAROLDO CATHEDRAL,A Proposicao procurada nao existe
JEFFERSON CAMPOS,Tramitando em Conjunto
ALÊ SILVA,A Proposicao procurada nao existe
SERGIO VIDIGAL,A Proposicao procurada nao existe
MAURO LOPES,"Arquivada, Arquivada"
MARIA ROSAS,A Proposicao procurada nao existe
RUI FALCÃO,A Proposicao procurada nao existe
MAGDA MOFATTO,A Proposicao procurada nao existe
ALUISIO MENDES,A Proposicao procurada nao existe
CARLOS JORDY,A Proposicao procurada nao existe
RICARDO BARROS,A Proposicao procurada nao existe
GLAUBER BRAGA,Aguardando Parecer
SUBTENENTE GONZAGA,A Proposicao procurada nao existe
CEZINHA DE MADUREIRA,A Proposicao procurada nao existe
SANTINI,A Proposicao procurada nao existe
ROGÉRIO PENINHA MENDONÇA,"Prioridade (Art. 151, II, RICD), Arquivada, Aguardando Parecer, Aguardando Apreciação pelo Senado Federal, Arquivada, Arquivada, Tramitando em Conjunto, Pronta para Pauta, Aguardando Designação de Relator, Tramitando em Conjunto"
PASTOR EURICO,"Ordinária (Art. 151, III, RICD), Tramitando em Conjunto, Tramitando em Conjunto, Arquivada, Aguardando Designação de Relator, Arquivada"
DANIELA DO WAGUINHO,A Proposicao procurada nao existe
TABATA AMARAL,A Proposicao procurada nao existe
PEDRO PAULO,A Proposicao procurada nao existe
VALTENIR PEREIRA,Aguardando Designação de Relator
ALTINEU CÔRTES,A Proposicao procurada nao existe
FERNANDO COELHO FILHO,Aguardando Parecer
JOSIMAR MARANHÃOZINHO,A Proposicao procurada nao existe
DA VITORIA,A Proposicao procurada nao existe
CARLOS CHIODINI,A Proposicao procurada nao existe
OSSESIO SILVA,A Proposicao procurada nao existe
CHARLES FERNANDES,A Proposicao procurada nao existe
LAFAYETTE DE ANDRADA,A Proposicao procurada nao existe
RAIMUNDO COSTA,A Proposicao procurada nao existe
MOSES RODRIGUES,A Proposicao procurada nao existe
AGUINALDO RIBEIRO,A Proposicao procurada nao existe
CHARLLES EVANGELISTA,A Proposicao procurada nao existe
WLADIMIR GAROTINHO,A Proposicao procurada nao existe
DR. LUIZ ANTONIO TEIXEIRA JR.,A Proposicao procurada nao existe
ARNALDO JARDIM,A Proposicao procurada nao existe
SÓSTENES CAVALCANTE,A Proposicao procurada nao existe
CELSO RUSSOMANNO,A Proposicao procurada nao existe
SÂMIA BOMFIM,A Proposicao procurada nao existe
LEANDRE,A Proposicao procurada nao existe
LUISA CANZIANI,A Proposicao procurada nao existe
LUIZÃO GOULART,A Proposicao procurada nao existe
FERNANDA MELCHIONNA,A Proposicao procurada nao existe
HELDER SALOMÃO,A Proposicao procurada nao existe
REJANE DIAS,A Proposicao procurada nao existe
CÉLIO MOURA,A Proposicao procurada nao existe
MÁRCIO JERRY,A Proposicao procurada nao existe
PEDRO AUGUSTO BEZERRA,A Proposicao procurada nao existe
DELEGADO MARCELO FREITAS,A Proposicao procurada nao existe
LOESTER TRUTIS,A Proposicao procurada nao existe
EFRAIM FILHO,A Proposicao procurada nao existe
MILTON VIEIRA,A Proposicao procurada nao existe
VICENTINHO,"Pronta para Pauta, Aguardando Designação de Relator"
LAERCIO OLIVEIRA,"Retirado pelo Autor, Arquivada, Tramitando em Conjunto, Aguardando Designação de Relator, Arquivada, Tramitando em Conjunto, Retirado pelo Autor, Aguardando Designação de Relator, Pronta para Pauta, Aguardando Designação de Relator, Aguardando Deliberação, Aguardando Parecer, Tramitando em Conjunto, Tramitando em Conjunto, Retirado pelo Autor, Arquivada, Arquivada, Tramitando em Conjunto, Aguardando Apreciação pelo Senado Federal, Urgência (Art. 155, RICD), Arquivada"
ALEXANDRE LEITE,"Arquivada, Aguardando Parecer, Aguardando Parecer, Aguardando Apreciação pelo Senado Federal, Aguardando Designação de Relator"
FILIPE BARROS,A Proposicao procurada nao existe
LÍDICE DA MATA,"Aguardando Designação de Relator, Aguardando Parecer"
CARLA ZAMBELLI,A Proposicao procurada nao existe
JOÃO CARLOS BACELAR,A Proposicao procurada nao existe
ROSE MODESTO,A Proposicao procurada nao existe
CHRISTINO AUREO,A Proposicao procurada nao existe
IVAN VALENTE,"Tramitando em Conjunto, Arquivada"
JUAREZ COSTA,A Proposicao procurada nao existe
CARMEN ZANOTTO,"Arquivada, Aguardando Designação de Relator"
HUGO LEAL,"Aguardando Designação de Relator, Prioridade (Art. 151, II, RICD), Retirado pelo Autor"
FRANCISCO JR.,A Proposicao procurada nao existe
ROGÉRIO CORREIA,A Proposicao procurada nao existe
PAULO PEREIRA DA SILVA,A Proposicao procurada nao existe
PINHEIRINHO,A Proposicao procurada nao existe
LUIZA ERUNDINA,"Transformado em Norma Jurídica, Tramitando em Conjunto"
PROFESSORA MARCIVANIA,A Proposicao procurada nao existe
EDUARDO BISMARCK,A Proposicao procurada nao existe
SCHIAVINATO,A Proposicao procurada nao existe
GASTÃO VIEIRA,A Proposicao procurada nao existe
ASSIS CARVALHO,"Tramitando em Conjunto, Tramitando em Conjunto"
ENRICO MISASI,A Proposicao procurada nao existe
EDUARDO BRAIDE,A Proposicao procurada nao existe
FRED COSTA,A Proposicao procurada nao existe
FLÁVIA MORAIS,"Tramitando em Conjunto, Arquivada, Tramitando em Conjunto, Prioridade (Art. 151, II, RICD), Tramitando em Conjunto"
FÁBIO RAMALHO,A Proposicao procurada nao existe
TED CONTI,A Proposicao procurada nao existe
ELCIONE BARBALHO,Aguardando Designação de Relator
JÚNIOR BOZZELLA,A Proposicao procurada nao existe
MARCELO ARO,A Proposicao procurada nao existe
SANDERSON,A Proposicao procurada nao existe
EDUARDO BOLSONARO,A Proposicao procurada nao existe
LEDA SADALA,A Proposicao procurada nao existe
MAJOR FABIANA,A Proposicao procurada nao existe
LUIZ ANTÔNIO CORRÊA,A Proposicao procurada nao existe
SORAYA SANTOS,A Proposicao procurada nao existe
AÉCIO NEVES,A Proposicao procurada nao existe
JOÃO ROMA,A Proposicao procurada nao existe
PEDRO CUNHA LIMA,A Proposicao procurada nao existe
ALENCAR SANTANA BRAGA,A Proposicao procurada nao existe
MARIANA CARVALHO,A Proposicao procurada nao existe
JULIO CESAR RIBEIRO,A Proposicao procurada nao existe
EDUARDO DA FONTE,"Aguardando Apreciação pelo Senado Federal, Arquivada, Aguardando Designação de Relator, Ordinária (Art. 151, III, RICD), Arquivada, Prioridade (Art. 151, II, RICD), Aguardando Designação de Relator, Prioridade (Art. 151, II, RICD), Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Tramitando em Conjunto, Arquivada"
BIA CAVASSA,A Proposicao procurada nao existe
DR. FREDERICO,A Proposicao procurada nao existe
CARLOS GOMES,A Proposicao procurada nao existe
AUREO RIBEIRO,A Proposicao procurada nao existe
ÁUREA CAROLINA,A Proposicao procurada nao existe
ANDRÉ FUFUCA,A Proposicao procurada nao existe
RENILDO CALHEIROS,A Proposicao procurada nao existe
DANILO CABRAL,A Proposicao procurada nao existe
PROFESSORA DORINHA SEABRA REZENDE,"Aguardando Designação de Relator, Aguardando Designação de Relator, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Apreciação pelo Senado Federal, Tramitando em Conjunto"
ARTHUR LIRA,A Proposicao procurada nao existe
BOSCO COSTA,A Proposicao procurada nao existe
DELEGADO ANTÔNIO FURTADO,A Proposicao procurada nao existe
FÁBIO TRAD,"Retirado pelo Autor, Arquivada, Arquivada"
JOENIA WAPICHANA,A Proposicao procurada nao existe
DR. ZACHARIAS CALIL,A Proposicao procurada nao existe
EDUARDO BARBOSA,"Tramitando em Conjunto, Aguardando Parecer, Aguardando Designação de Relator, Aguardando Parecer"
DIEGO ANDRADE,"Aguardando Parecer, Aguardando Designação de Relator, Aguardando Designação de Relator, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Designação de Relator, Arquivada, Arquivada, Tramitando em Conjunto, Tramitando em Conjunto, Aguardando Parecer"
