Nome,Partido,UF,Tipo_de_Despesa,Valor
JOSÉ AIRTON FÉLIX CIRILO,PT,CE,EMISSÃO BILHETE AÉREO,"R$  54330,36"
BETO FARO,PT,PA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  55000
SILVIO COSTA FILHO,PRB,PE,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  60000
SAMUEL MOREIRA,PSDB,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  71990,3"
CAPITÃO AUGUSTO,PL,SP,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  94600
PROFESSOR ALCIDES,PP,GO,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  71940
EUCLYDES PETTERSEN,PSC,MG,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  73000
JULIAN LEMOS,PSL,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  75200
BILAC PINTO,DEM,MG,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  128000
IGOR TIMO,PODE,MG,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  117328,14"
AFONSO MOTTA,PDT,RS,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  47940
JOSÉ GUIMARÃES,PT,CE,EMISSÃO BILHETE AÉREO,"R$  66695,52"
RUY CARNEIRO,PSDB,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  113668,03"
JERÔNIMO GOERGEN,PP,RS,EMISSÃO BILHETE AÉREO,"R$  67989,53"
ARTHUR OLIVEIRA MAIA,DEM,BA,EMISSÃO BILHETE AÉREO,"R$  68399,27"
ROBÉRIO MONTEIRO,PDT,CE,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,"R$  73968,8"
LEONARDO MONTEIRO,PT,MG,EMISSÃO BILHETE AÉREO,"R$  54091,52"
MÁRCIO MARINHO,PRB,BA,EMISSÃO BILHETE AÉREO,"R$  51559,47"
NELSON PELLEGRINO,PT,BA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  67800
GIACOBO,PL,PR,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  77000
VINICIUS CARVALHO,PRB,SP,EMISSÃO BILHETE AÉREO,"R$  82049,42"
VAVÁ MARTINS,PRB,PA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  60000
GIL CUTRIM,PDT,MA,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  54300
PAULO BENGTSON,PTB,PA,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  109000
DARCI DE MATOS,PSD,SC,EMISSÃO BILHETE AÉREO,"R$  56793,14"
PATRUS ANANIAS,PT,MG,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  86431,69"
DAGOBERTO NOGUEIRA,PDT,MS,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  60000
JORGE SOLLA,PT,BA,EMISSÃO BILHETE AÉREO,"R$  48094,16"
ROBERTO ALVES,PRB,SP,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  93000
REINHOLD STEPHANES JUNIOR,PSD,PR,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  52621,64"
EVANDRO ROMAN,PSD,PR,EMISSÃO BILHETE AÉREO,"R$  45631,67"
SHÉRIDAN,PSDB,RR,PASSAGENS AÉREAS,"R$  79003,32"
ELMAR NASCIMENTO,DEM,BA,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  60000
SEVERINO PESSOA,PRB,AL,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  87500
RUBENS OTONI,PT,GO,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  61403,08"
RAFAEL MOTTA,PSB,RN,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  77376,8"
FERNANDO MONTEIRO,PP,PE,EMISSÃO BILHETE AÉREO,"R$  73482,47"
FREI ANASTACIO RIBEIRO,PT,PB,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  54600
CHRISTIANE DE SOUZA YARED,PL,PR,EMISSÃO BILHETE AÉREO,"R$  80943,42"
MISAEL VARELLA,PSD,MG,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  74551,53"
LUCAS VERGILIO,SOLIDARIEDADE,GO,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  120000
ELI CORRÊA FILHO,DEM,SP,EMISSÃO BILHETE AÉREO,"R$  83039,46"
BALEIA ROSSI,MDB,SP,EMISSÃO BILHETE AÉREO,"R$  67694,31"
JANDIRA FEGHALI,PCdoB,RJ,EMISSÃO BILHETE AÉREO,"R$  63089,4"
JOÃO MAIA,PL,RN,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  92600
JOÃO MARCELO SOUZA,MDB,MA,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  62250
GELSON AZEVEDO,PL,RJ,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  60249
TEREZA NELMA,PSDB,AL,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  50400
VINICIUS FARAH,MDB,RJ,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,"R$  61196,49"
ALCEU MOREIRA,MDB,RS,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,"R$  55298,35"
LEÔNIDAS CRISTINO,PDT,CE,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,R$  51700
MAURÍCIO DZIEDRICKI,PTB,RS,EMISSÃO BILHETE AÉREO,"R$  73277,86"
VANDERLEI MACRIS,PSDB,SP,EMISSÃO BILHETE AÉREO,"R$  62996,24"
EDUARDO CURY,PSDB,SP,LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES,R$  46302
RONALDO CARLETTO,PP,BA,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",R$  88860
